,year,number,percentage
0,2030,0.0,0.0
1,2031,60431.96482595969,0.38645541055769583
2,2032,143745.44135588335,0.9192354363285906
3,2033,258197.9615372655,1.651146037008892
4,2034,414665.19936687296,2.651735887238196
5,2035,627154.3092130276,4.01057911567084
6,2036,913135.1290638895,5.839393311359805
7,2037,1293393.6055092707,8.271102193504529
8,2038,1790950.8765211497,11.452923271118463
9,2039,2428479.0777874896,15.529842224060687
10,2040,3223758.4922528346,20.615561900897422
11,2041,4183318.9639150673,26.75183989713872
12,2042,5295633.8684002515,33.86496478593286
13,2043,6526695.097181557,41.73745865503793
14,2044,7821295.783967841,50.01627999339947
15,2045,9111566.705607064,58.26741298549681
16,2046,10330530.478656616,66.06254502738044
17,2047,11425287.290272253,73.06338794738451
18,2048,12364688.724144882,79.07075123354042
19,2049,13139767.769692112,84.02729189251549
20,2050,13758830.448811352,87.98612597161537
